replicates,mean_of_each_column,fullname,generation,line,choosen
v1a,278,hsd_noselection,1,1,
v1b,285,hsd_noselection,1,1,
v1c,293.25,hsd_noselection,1,1,
v2a,283.6666667,hsd_noselection,1,2,
v2c,291.6666667,hsd_noselection,1,2,
v3a,274.75,hsd_noselection,1,3,
v3b,275.4,hsd_noselection,1,3,
v3c,296.875,hsd_noselection,1,3,
v4a,276.6666667,hsd_noselection,1,4,
v5a,254,hsd_noselection,1,5,
v5b,301,hsd_noselection,1,5,
v5c,291.3333333,hsd_noselection,1,5,
v6a,286.3333333,hsd_noselection,1,6,
v6b,290.5,hsd_noselection,1,6,
v7a,290.3333333,hsd_noselection,1,7,
v7c,277,hsd_noselection,1,7,
v8a,300.25,hsd_noselection,1,8,
v8b,280,hsd_noselection,1,8,
v8c,304,hsd_noselection,1,8,
v9a,255,hsd_noselection,1,9,
v9b,302,hsd_noselection,1,9,
v10a,277.6666667,hsd_noselection,1,10,
v10c,300,hsd_noselection,1,10,
v1a,286.8947368,hsd_noselection,2,1,
v1b,293.6153846,hsd_noselection,2,1,
v1c,291.2,hsd_noselection,2,1,
v2a,295.7826087,hsd_noselection,2,2,
v2b,294.5263158,hsd_noselection,2,2,
v2c,297,hsd_noselection,2,2,
v3a,275.3,hsd_noselection,2,3,
v3b,283.4,hsd_noselection,2,3,
v3c,283.25,hsd_noselection,2,3,
v4a,281.48,hsd_noselection,2,4,
v4b,278.3636364,hsd_noselection,2,4,
v4c,287.6052632,hsd_noselection,2,4,
v5a,297.95,hsd_noselection,2,5,
v5b,286.1153846,hsd_noselection,2,5,
v5c,287.2666667,hsd_noselection,2,5,
v6a,291.8947368,hsd_noselection,2,6,
v6b,291.6785714,hsd_noselection,2,6,
v6c,294.6,hsd_noselection,2,6,
v7a,286.8947368,hsd_noselection,2,7,
v7b,288.9473684,hsd_noselection,2,7,
v7c,290.6818182,hsd_noselection,2,7,
v8a,296.6875,hsd_noselection,2,8,
v8b,298.5555556,hsd_noselection,2,8,
v8c,285.4,hsd_noselection,2,8,
v9a,301.1276596,hsd_noselection,2,9,
v9b,299.972973,hsd_noselection,2,9,
v9c,301.6129032,hsd_noselection,2,9,
v10a,299.6129032,hsd_noselection,2,10,
v10b,297.0192308,hsd_noselection,2,10,
v10c,293.6744186,hsd_noselection,2,10,
v1a,285.3921569,hsd_noselection,3,1,
v1b,284.0769231,hsd_noselection,3,1,
v1c,294.5,hsd_noselection,3,1,
v2a,292.0322581,hsd_noselection,3,2,
v2b,297,hsd_noselection,3,2,
v2c,293.0769231,hsd_noselection,3,2,
v3a,289.2820513,hsd_noselection,3,3,
v3b,289.9166667,hsd_noselection,3,3,
v3c,292.40625,hsd_noselection,3,3,
v4a,283.4,hsd_noselection,3,4,
v4b,280.35,hsd_noselection,3,4,
