emergence_time,round,diet,selection,line,vial
278,1,hsd,noselection,1,a
275,1,hsd,noselection,1,b
282,1,hsd,noselection,1,b
298,1,hsd,noselection,1,b
280,1,hsd,noselection,1,c
297,1,hsd,noselection,1,c
297,1,hsd,noselection,1,c
299,1,hsd,noselection,1,c
275,1,hsd,noselection,2,a
275,1,hsd,noselection,2,a
276,1,hsd,noselection,2,a
282,1,hsd,noselection,2,a
297,1,hsd,noselection,2,a
297,1,hsd,noselection,2,a
278,1,hsd,noselection,2,c
297,1,hsd,noselection,2,c
300,1,hsd,noselection,2,c
256,1,hsd,noselection,3,a
273,1,hsd,noselection,3,a
273,1,hsd,noselection,3,a
297,1,hsd,noselection,3,a
273,1,hsd,noselection,3,b
273,1,hsd,noselection,3,b
275,1,hsd,noselection,3,b
277,1,hsd,noselection,3,b
279,1,hsd,noselection,3,b
282,1,hsd,noselection,3,c
297,1,hsd,noselection,3,c
297,1,hsd,noselection,3,c
297,1,hsd,noselection,3,c
298,1,hsd,noselection,3,c
298,1,hsd,noselection,3,c
301,1,hsd,noselection,3,c
305,1,hsd,noselection,3,c
273,1,hsd,noselection,4,a
277,1,hsd,noselection,4,a
280,1,hsd,noselection,4,a
254,1,hsd,noselection,5,a
301,1,hsd,noselection,5,b
274,1,hsd,noselection,5,c
282,1,hsd,noselection,5,c
298,1,hsd,noselection,5,c
298,1,hsd,noselection,5,c
298,1,hsd,noselection,5,c
298,1,hsd,noselection,5,c
280,1,hsd,noselection,6,a
282,1,hsd,noselection,6,a
297,1,hsd,noselection,6,a
281,1,hsd,noselection,6,b
300,1,hsd,noselection,6,b
277,1,hsd,noselection,7,a
297,1,hsd,noselection,7,a
297,1,hsd,noselection,7,a
273,1,hsd,noselection,7,c
281,1,hsd,noselection,7,c
297,1,hsd,noselection,8,a
297,1,hsd,noselection,8,a
302,1,hsd,noselection,8,a
305,1,hsd,noselection,8,a
280,1,hsd,noselection,8,b
302,1,hsd,noselection,8,c
306,1,hsd,noselection,8,c
255,1,hsd,noselection,9,a
302,1,hsd,noselection,9,b
276,1,hsd,noselection,10,a
276,1,hsd,noselection,10,a
281,1,hsd,noselection,10,a
297,1,hsd,noselection,10,c
303,1,hsd,noselection,10,c
276,2,hsd,noselection,1,a
