Generation,Diet,Line,vial_name,vial_mean,choosen
1,hsd_selection,1,v1a,302,selected_vial
1,hsd_selection,2,v2c,288.5,selected_vial
1,hsd_selection,3,v3c,302,selected_vial
1,hsd_selection,4,v4a,276.66,selected_vial
1,hsd_selection,5,v5a,286.33,selected_vial
1,hsd_selection,6,v6b,292.33,selected_vial
1,hsd_selection,7,v7a,299,selected_vial
1,hsd_selection,8,v8c,309,selected_vial
1,hsd_selection,9,v9a,275,selected_vial
1,hsd_selection,10,v10b,266,selected_vial
1,hsd_noselection,1,v1c,293.25,selected_vial
1,hsd_noselection,2,v2a,283.66,selected_vial
1,hsd_noselection,3,v3b,275.4,selected_vial
1,hsd_noselection,4,v4c,0,selected_vial
1,hsd_noselection,5,v5c,291.33,selected_vial
1,hsd_noselection,6,v6b,290.5,selected_vial
1,hsd_noselection,7,v7a,290.33,selected_vial
1,hsd_noselection,8,v8a,300.25,selected_vial
1,hsd_noselection,9,v9b,255,selected_vial
1,hsd_noselection,10,v10c,300,selected_vial
1,nsd_selection,1,v1c,247.94,selected_vial
1,nsd_selection,2,v2c,240.79,selected_vial
1,nsd_selection,3,v3c,242.71,selected_vial
1,nsd_selection,4,v4c,231,selected_vial
1,nsd_selection,5,v5a,257.8,selected_vial
1,nsd_selection,6,v6c,239.17,selected_vial
1,nsd_selection,7,v7b,247.44,selected_vial
1,nsd_selection,8,v8a,237.14,selected_vial
1,nsd_selection,9,v9b,245.08,selected_vial
1,nsd_selection,10,v10b,235.63,selected_vial
1,nsd_noselection,1,v1b,251.58,selected_vial
1,nsd_noselection,2,v2a,0,selected_vial
1,nsd_noselection,3,v3b,247.78,selected_vial
1,nsd_noselection,4,v4c,243.16,selected_vial
1,nsd_noselection,5,v5b,244.22,selected_vial
1,nsd_noselection,6,v6c,243.25,selected_vial
1,nsd_noselection,7,v7b,251.66,selected_vial
1,nsd_noselection,8,v8b,253.77,selected_vial
1,nsd_noselection,9,v9c,249,selected_vial
1,nsd_noselection,10,v10a,239.08,selected_vial
2,hsd_selection,1,v1b,238,selected_vial
2,hsd_selection,2,v2c,294.47,selected_vial
2,hsd_selection,3,v3c,296.84,selected_vial
2,hsd_selection,4,v4c,292.14,selected_vial
2,hsd_selection,5,v5b,294.95,selected_vial
2,hsd_selection,6,v6b,292.77,selected_vial
2,hsd_selection,7,v7b,288.4,selected_vial
2,hsd_selection,8,v8a,291.77,selected_vial
2,hsd_selection,9,v9c,286.17,selected_vial
2,hsd_selection,10,v10c,296.11,selected_vial
2,hsd_noselection,1,v1b,293.615,selected_vial
